device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,1,1,37,525.573,57.74,0.009,24066,22.515,3.166
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,2,1,37,448.794,48.831,0.009,24825.1,19.458,3.279
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,4,1,37,442.175,49.781,0.012,20937.7,20.963,2.813
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,8,1,37,447.149,50.853,0.014,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,16,1,37,399.274,48.307,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,32,1,37,394.834,48.048,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,64,1,37,393.885,47.749,0.013,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,128,1,37,394.211,47.977,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,256,1,37,393.939,48.216,0.028,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,512,1,37,394.839,48.073,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,1024,1,37,393.841,48.168,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,2048,1,37,394.024,47.989,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,4096,1,37,393.956,48.129,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,1,8192,1,37,394.945,48.008,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,1,1,37,393.93,48.128,0.012,25075.2,21.788,2.709
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,2,1,37,449.443,49.89,0.013,22581.9,19.235,2.73
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,4,1,37,434.989,50.519,0.012,24252.6,19.331,4.445
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,8,1,37,431.083,49.154,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,16,1,37,393.719,47.885,0.013,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,32,1,37,393.728,48.08,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,64,1,37,393.716,48.43,0.014,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,128,1,37,393.831,48.182,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,256,1,37,394.176,47.985,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,512,1,37,393.784,48.342,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,1024,1,37,393.978,48.119,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,2048,1,37,393.81,47.919,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,2,4096,1,37,394.707,48.018,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,1,1,37,393.875,48.036,0.016,26631.8,21.881,2.702
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,2,1,37,451.804,50.854,0.011,23800.6,21.222,2.601
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,4,1,37,445.43,48.87,0.012,23344.6,21.806,2.806
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,8,1,37,440.505,49.989,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,16,1,37,393.665,48.122,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,32,1,37,393.782,48.091,0.014,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,64,1,37,393.716,48.382,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,128,1,37,394.221,48.357,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,256,1,37,393.753,47.836,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,512,1,37,393.676,48.289,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,1024,1,37,393.811,48.059,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,4,2048,1,37,393.69,48.049,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,1,1,37,394.197,48.2,0.013,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,2,1,37,393.786,48.134,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,4,1,37,393.908,48.004,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,8,1,37,393.719,48.199,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,16,1,37,394.67,47.669,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,32,1,37,393.817,47.986,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,64,1,37,393.933,48.165,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,128,1,37,393.731,48.104,0.013,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,256,1,37,394.666,47.999,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,512,1,37,393.82,47.942,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,8,1024,1,37,393.888,48.099,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,1,1,37,393.847,48.016,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,2,1,37,395.102,48.156,0.015,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,4,1,37,393.776,48.023,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,8,1,37,393.854,48.184,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,16,1,37,393.877,48.08,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,32,1,37,394.176,48.008,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,64,1,37,393.723,48.28,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,128,1,37,393.709,47.796,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,256,1,37,393.911,48.076,0.013,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,16,512,1,37,393.733,48.155,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,32,1,1,37,394.593,48.044,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,32,2,1,37,393.769,48.916,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,32,4,1,37,393.906,48.671,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,32,8,1,37,393.692,48.637,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,32,16,1,37,394.728,48.759,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,32,32,1,37,393.734,48.286,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,32,64,1,37,393.859,48.482,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,32,128,1,37,393.763,48.607,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,32,256,1,37,394.655,48.411,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,1,1,37,393.739,48.326,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,2,1,37,393.951,48.31,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,4,1,37,393.877,48.225,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,8,1,37,394.577,48.439,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,16,1,37,393.784,48.271,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,32,1,37,393.893,48.354,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,64,1,37,393.81,47.883,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,64,128,1,37,394.661,48.984,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,1,1,37,393.973,48.038,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,2,1,37,393.801,48.367,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,4,1,37,393.95,48.488,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,8,1,37,393.779,48.351,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,16,1,37,394.689,48.385,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,32,1,37,393.726,48.384,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,128,64,1,37,393.944,48.439,0.013,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,1,1,37,393.708,48.532,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,2,1,37,394.585,48.466,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,4,1,37,393.791,48.718,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,8,1,37,393.943,48.681,0.025,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,16,1,37,393.728,48.49,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,256,32,1,37,394.638,48.475,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,512,1,1,37,393.746,48.512,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixMultiplication,TWO_D,3156,3156,3156,512,2,1,37,393.897,48.487,0.011,-1,-1,-1
