device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,1,1,1,20,141.188,11.832,0.006,3.402,8.758,1.98
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,2,1,1,20,137.82,11.933,0.006,3.202,4.571,2.09
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,4,1,1,20,137.168,11.675,0.005,3.224,2.405,2.016
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,8,1,1,20,137.099,11.716,0.006,1.222,1.235,1.999
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,16,1,1,20,135.289,11.411,0.005,1.054,0.652,1.959
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,32,1,1,20,134.932,11.422,0.005,1.075,0.387,1.877
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,64,1,1,20,134.626,11.288,0.005,1.1,0.282,1.818
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,128,1,1,20,134.558,11.175,0.005,1.112,0.198,1.852
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,256,1,1,20,134.333,11.137,0.004,1.246,0.186,1.888
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,512,1,1,20,134.167,11.271,0.005,1.363,0.224,1.82
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,1024,1,1,20,134.455,11.394,0.005,1.514,0.133,1.87
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,2048,1,1,20,134.926,11.394,0.005,1.761,0.13,1.891
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,4096,1,1,20,135.333,11.423,0.005,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,8192,1,1,20,137.147,11.926,0.006,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,1,1,1,20,107.073,10.956,0.009,4.07,7.075,2.072
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,2,1,1,20,104.257,10.831,0.019,3.361,4.429,2.254
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,4,1,1,20,103.931,11.186,0.021,1.512,3.896,3.186
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,8,1,1,20,102.435,10.204,0.006,1.399,1.509,2.707
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,16,1,1,20,103.453,10.185,0.021,1.469,0.758,2.26
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,32,1,1,20,101.524,10.072,0.005,1.298,0.703,2.09
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,64,1,1,20,101.411,10.147,0.006,1.561,16.88,1.995
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,128,1,1,20,101.329,9.984,0.006,1.281,0.168,2.703
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,256,1,1,20,101.933,10.073,0.021,1.411,0.299,2.115
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,512,1,1,20,101.232,9.862,0.006,1.503,0.89,2.093
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,1024,1,1,20,101.777,10.243,0.006,1.592,0.081,2.866
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,2048,1,1,20,103.744,10.131,0.02,1.615,0.117,2.801
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,4096,1,1,20,104.561,9.989,0.02,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,8192,1,1,20,100.39,10.218,0.004,-1,-1,-1
