device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,1,1,1,24.0103,529.092,0.096,0.002,2200.15,0.009,7.053
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,1,2,1,24.0103,527.024,0.088,0.002,1169.19,0.009,7.033
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,1,4,1,24.0103,526.261,0.092,0.002,741.817,0.009,7.126
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,1,8,1,24.0103,524.958,0.091,0.002,519.815,0.005,10.814
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,1,16,1,24.0103,525.966,0.06,0.002,377.683,0.005,7.221
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,1,32,1,24.0103,530.604,0.06,0.003,314.736,0.023,7.013
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,1,64,1,24.0103,523.959,0.064,0.003,282.388,0.006,7.118
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,1,128,1,24.0103,525.121,0.061,0.003,279.524,0.006,13.495
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,1,256,1,24.0103,527.805,0.094,0.003,278.223,0.006,13.53
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,2,1,1,24.0103,527.678,0.062,0.004,1169.25,0.006,7.329
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,2,2,1,24.0103,527.532,0.095,0.003,750.166,0.005,7.157
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,2,4,1,24.0103,527.481,0.092,0.002,521.386,0.006,7.418
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,2,8,1,24.0103,525.467,0.091,0.004,384.302,0.007,7.148
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,2,16,1,24.0103,525.86,0.092,0.003,316.49,0.005,7.299
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,2,32,1,24.0103,524.648,0.093,0.003,286.815,0.006,9.667
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,2,64,1,24.0103,524.583,0.093,0.003,279.193,0.005,11.3
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,2,128,1,24.0103,524.388,0.094,0.003,282.851,0.005,12.113
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,4,1,1,24.0103,524.722,0.092,0.003,748.171,0.005,7.392
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,4,2,1,24.0103,526.498,0.093,0.003,518.241,0.007,9.75
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,4,4,1,24.0103,525.526,0.064,0.003,370.38,0.007,7.237
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,4,8,1,24.0103,523.851,0.059,0.003,309.055,0.006,7.132
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,4,16,1,24.0103,528.025,0.066,0.003,281.791,0.006,7.067
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,4,32,1,24.0103,525.158,0.06,0.004,280.044,0.005,7.614
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,4,64,1,24.0103,527.843,0.063,0.002,271.694,0.007,7.103
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,8,1,1,24.0103,529.908,0.062,0.003,492.518,0.007,7.059
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,8,2,1,24.0103,524.978,0.058,0.003,370.081,0.007,7.076
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,8,4,1,24.0103,524.371,0.064,0.003,311.49,0.005,7.102
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,8,8,1,24.0103,524.154,0.064,0.003,274.454,0.006,7.248
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,8,16,1,24.0103,523.736,0.061,0.003,274.307,0.006,7.111
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,8,32,1,24.0103,525.007,0.058,0.002,277.736,0.007,7.085
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,16,1,1,24.0103,524.516,0.062,0.003,372.772,0.005,7.049
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,16,2,1,24.0103,524.994,0.06,0.004,306.274,0.007,7.092
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,16,4,1,24.0103,524.145,0.063,0.003,276.737,0.007,7.089
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,16,8,1,24.0103,523.993,0.061,0.004,277.686,0.005,7.305
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,16,16,1,24.0103,524.648,0.062,0.002,277.504,0.008,7.081
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,32,1,1,24.0103,524.195,0.06,0.003,307.947,0.005,7.071
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,32,2,1,24.0103,524.758,0.062,0.003,274.405,0.008,7.245
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,32,4,1,24.0103,523.995,0.062,0.003,274.001,0.006,7.078
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,32,8,1,24.0103,524.662,0.062,0.003,277.468,0.007,7.144
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,64,1,1,24.0103,524.296,0.06,0.004,278.737,0.008,7.078
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,64,2,1,24.0103,523.864,0.065,0.002,278.682,0.008,7.074
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,64,4,1,24.0103,524.966,0.06,0.004,276.876,0.006,7.084
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,128,1,1,24.0103,524.349,0.063,0.003,275.615,0.007,7.083
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,128,2,1,24.0103,524.06,0.062,0.003,272.892,0.007,7.076
AMD Firepro W9100,MonteCarloAsian,TWO_D,887,1774,4,256,1,1,24.0103,524.326,0.062,0.002,283.656,0.006,7.071
