device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,1,1,1,192,0.008,0,0.002,1.226,0.001,1.456
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,2,1,1,192,0.005,0,0.002,0.798,0.001,0.956
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,4,1,1,192,0.005,0,0.002,0.622,0,0.949
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,8,1,1,192,0.005,0,0.002,0.603,0,0.942
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,16,1,1,192,0.005,0.001,0.001,0.594,0.001,0.971
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,32,1,1,192,0.005,0.001,0.001,0.592,0.001,0.951
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,64,1,1,192,0.005,0.001,0.001,0.567,0,0.932
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,128,1,1,192,0.005,0,0.002,0.62,0.001,0.905
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,256,1,1,192,0.005,0,0.002,0.576,0,0.938
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,512,1,1,192,0.004,0,0.001,0.559,0,0.933
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,1024,1,1,192,0.004,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,2048,1,1,192,0.004,0,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,4096,1,1,192,0.004,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,347,726,8192,1,1,192,0.003,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,1,1,1,192,0.017,0.001,0.003,1.401,0,0.837
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,2,1,1,192,0.02,0,0.001,0.85,0,0.95
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,4,1,1,192,0.01,0,0.003,0.597,0.001,0.954
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,8,1,1,192,0.011,0.001,0.002,0.602,0,0.944
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,16,1,1,192,0.011,0,0.003,0.594,0,0.951
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,32,1,1,192,0.01,0,0.002,0.574,0.001,0.951
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,64,1,1,192,0.01,0,0.002,0.578,0,0.952
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,128,1,1,192,0.01,0,0.003,0.535,0.001,0.997
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,256,1,1,192,0.01,0,0.002,0.524,0.001,0.976
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,512,1,1,192,0.01,0,0.002,0.523,0,0.982
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,1024,1,1,192,0.01,0,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,2048,1,1,192,0.01,0,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,4096,1,1,192,0.009,0,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,422,946,8192,1,1,192,0.01,0.001,0.002,-1,-1,-1
