device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,40,0,0,0,1.343,0.001,1.185
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,40,0.001,0,0,0.595,0,0.93
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,40,0,0,0.001,0.438,0.001,0.922
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,40,0.001,0.001,0,0.316,0,1.017
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,40,0,0,0,0.387,0.001,0.955
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,40,0,0,0,0.518,0,0.962
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,40,0.001,0.001,0,0.358,0,0.959
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,40,0,0.001,0,0.327,0.001,0.914
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,40,0.001,0,0,0.304,0,0.967
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,40,0,0,0.001,0.344,0.001,0.923
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,40,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,40,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,40,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,40,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,40,0,0,0,1.5,0.001,1.136
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,40,0,0,0,0.501,0.001,0.965
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,40,0,0,0,0.345,0,1.045
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,40,0.001,0.001,0,0.405,0.001,0.948
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,40,0,0,0.001,0.324,0,1.083
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,40,0,0,0,0.51,0.001,0.953
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,40,0,0,0,0.312,0.001,0.987
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,40,0.001,0,0.001,0.352,0,0.931
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,40,0,0,0,0.366,0,0.942
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,40,0,0,0,0.364,0.001,0.951
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,40,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,40,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,40,0.001,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,40,0,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,40,0,0,0.001,1.484,0.001,1.366
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,40,0.001,0,0,0.774,0.001,1.056
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,40,0,0,0.001,0.38,0.001,0.965
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,40,0,0.001,0,0.435,0.001,1.039
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,40,0.001,0.001,0,0.36,0.001,1.019
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,40,0,0,0,0.355,0.001,0.975
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,40,0,0,0.001,0.315,0,1.019
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,40,0.001,0.001,0,0.393,0.001,0.981
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,40,0,0,0,0.327,0.001,0.932
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,40,0,0.001,0,0.297,0.001,0.951
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,40,0,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,40,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,40,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,40,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,40,0.001,0,0,1.49,0.001,1.437
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,40,0.001,0.001,0,0.424,0,1.03
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,40,0,0,0,0.348,0.001,1.043
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,40,0,0,0.001,0.374,0,1.011
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,40,0,0,0.001,0.34,0.001,1.046
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,40,0,0,0.001,0.341,0.001,0.988
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,40,0,0,0,0.293,0,1.019
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,40,0,0,0,0.296,0.001,1.033
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,40,0,0,0,0.347,0,1.057
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,40,0,0,0,0.347,0.001,1.058
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,40,0.001,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,40,0,0,0,-1,-1,-1
