device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,12,0,0,0.001,1.446,0,1.099
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,12,0,0,0.001,0.518,0,0.906
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,12,0.001,0,0.001,0.228,0.001,0.971
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,12,0,0,0,0.24,0,0.971
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,12,0.001,0,0.001,0.211,0,0.978
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,12,0.001,0,0,0.238,0.001,0.94
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,12,0.001,0,0.001,0.208,0,0.954
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,12,0,0,0,0.208,0.001,0.928
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,12,0.001,0,0.001,0.2,0.001,0.933
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,12,0,0,0,0.184,0.001,0.937
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,12,0.001,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,12,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,12,0,0,0.001,1.392,0.001,0.827
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,12,0.001,0,0.001,0.715,0,0.958
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,12,0,0,0,0.373,0.001,0.949
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,12,0,0,0.001,0.395,0.001,0.935
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,12,0,0,0.001,0.341,0.001,0.981
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,12,0.001,0,0,0.349,0,0.977
