device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,1,1,1,4,31.97,3.709,0.006,42.795,2.772,0.988
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,2,1,1,4,30.23,3.412,0.005,45.497,1.713,0.938
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,4,1,1,4,34.309,3.367,0.003,31.604,1.816,0.941
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,8,1,1,4,28.259,3.427,0.004,26.059,1.423,0.943
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,16,1,1,4,33.303,3.366,0.018,11.02,2.055,0.846
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,32,1,1,4,32.867,3.294,0.004,12.243,1.844,0.886
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,64,1,1,4,27.413,3.388,0.002,15.419,1.383,0.89
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,128,1,1,4,33.148,3.424,0.004,12.768,2.022,0.909
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,256,1,1,4,31.88,3.265,0.003,14.264,11.776,0.993
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,512,1,1,4,30.905,3.342,0.005,12.42,1.392,0.949
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,1024,1,1,4,31.386,3.375,0.004,10.837,2.133,0.928
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,2048,1,1,4,31.944,3.367,0.003,12.872,1.12,0.794
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,4096,1,1,4,26.831,3.374,0.004,7.015,1.174,0.864
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,8192,1,1,4,32.428,4.92,0.004,7.961,1.503,0.725
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,1,1,1,4,29.694,3.239,0.004,43.118,2.553,0.962
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,2,1,1,4,29.298,3.401,0.003,35.091,1.072,0.889
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,4,1,1,4,34.358,3.347,0.003,30.727,0.975,0.83
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,8,1,1,4,29.232,3.353,0.004,23.759,1.492,0.877
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,16,1,1,4,29.976,3.261,0.002,12.271,1.58,0.739
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,32,1,1,4,30.811,3.245,0.003,13.619,4.803,1.08
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,64,1,1,4,30.129,4.796,0.003,16.51,14.301,0.914
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,128,1,1,4,31.361,3.663,0.003,13,2.048,1.052
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,256,1,1,4,35.237,3.607,0.003,12.514,2.575,1.059
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,512,1,1,4,33.529,4.784,0.003,13.216,3.568,0.906
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,1024,1,1,4,35.43,3.306,0.004,10.301,1.053,0.827
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,2048,1,1,4,34.334,3.272,0.003,11.07,1.613,0.864
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,4096,1,1,4,28.601,3.206,0.025,6.46,1.781,0.864
Intel Xeon Phi coprocessor x100 family,FWT,ONE_D,1.04858e+06,8192,1,1,4,31.963,4.7,0.003,8.073,2.103,0.874
