device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,1,1,2,50.346,5.167,0.005,151.522,0.008,2.585
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,2,1,2,43.479,4.29,0.003,137.331,0.008,3.743
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,4,1,2,49.247,4.8,0.003,131.342,0.007,3.396
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,8,1,2,48.963,3.597,0.004,122.962,0.008,3.058
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,16,1,2,61.835,4.418,0.003,120.425,0.008,3.128
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,32,1,2,62.217,4.851,0.004,123.352,0.009,3.197
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,64,1,2,59.843,5.385,0.004,131.681,0.006,2.382
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,128,1,2,60.504,4.772,0.003,134.246,0.012,3.577
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,256,1,2,64.177,4.142,0.003,149.475,0.012,3.474
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,512,1,2,63.323,3.969,0.005,166.499,0.009,3.235
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,1024,1,2,64.53,4.619,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,2048,1,2,59.029,4.505,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,4096,1,2,57.082,4.828,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1,8192,1,2,56.852,4.841,0.003,-1,-1,-1
