device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,1,1,24,64.82,18.547,0.009,3135.68,21.873,3.565
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,2,1,24,85.549,21.717,0.009,2296.93,21.753,4.162
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,4,1,24,85.57,22.06,0.008,1793.32,19.299,4.683
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,8,1,24,92.587,21.922,0.009,1522.44,22.686,4.619
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,16,1,24,85.609,21.915,0.009,1371.39,20.297,3.959
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,32,1,24,88.77,21.96,0.009,1279.21,18.857,3.588
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,64,1,24,88.534,21.457,0.013,1229.49,18.044,3.64
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,128,1,24,88.519,21.578,0.013,1166.14,22.462,4.09
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,256,1,24,85.806,21.724,0.008,1089.67,21.032,3.223
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,512,1,24,85.564,21.287,0.011,943.653,23.554,4.534
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,1024,1,24,89.703,21.467,0.008,1010.09,19.498,3.766
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,2048,1,24,89.319,21.093,0.013,1175.68,23.515,4.056
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,4096,1,24,91.388,20.788,0.015,1503.79,23.479,4.354
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,1,8192,1,24,90.991,20.521,0.013,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,1,1,24,90.476,19.277,0.009,2256.22,22.722,3.744
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,2,1,24,86.042,21.894,0.009,1775.07,22.852,4.041
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,4,1,24,86.029,21.899,0.009,1525.94,18.941,3.955
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,8,1,24,87.771,21.787,0.01,1369.42,18.104,4.447
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,16,1,24,91.759,21.499,0.009,1278.08,20.414,3.929
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,32,1,24,89.118,21.753,0.009,1228.35,22.876,4.574
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,64,1,24,87.56,21.734,0.009,1162.47,19.381,4.504
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,128,1,24,87.905,21.389,0.009,1086.77,23.102,3.74
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,256,1,24,86.609,21.393,0.009,926.802,22.566,3.905
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,512,1,24,85.783,21.213,0.009,1005.94,19.033,3.859
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,1024,1,24,87.788,20.732,0.009,1181.99,21.346,3.334
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,2048,1,24,85.52,20.177,0.01,1504.51,19.52,3.35
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,2,4096,1,24,89.485,20.846,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,1,1,24,87.873,19.364,0.009,1776.83,21.458,3.168
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,2,1,24,85.578,21.837,0.008,1557.66,21.39,4.314
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,4,1,24,89.548,21.958,0.013,1363.18,21.347,4.486
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,8,1,24,89.603,21.914,0.01,1302.35,21.486,4.522
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,16,1,24,89.423,21.844,0.01,1236.11,20.119,3.828
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,32,1,24,88.886,21.701,0.026,1156.98,23.184,3.002
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,64,1,24,89.285,21.562,0.013,1083.42,19.365,3.529
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,128,1,24,89.271,21.682,0.008,930.766,21.402,4.054
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,256,1,24,89.708,21.14,0.009,1005.61,20.708,3.24
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,512,1,24,85.578,21.423,0.008,1188.56,20.762,3.991
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,1024,1,24,89.257,20.542,0.009,1498.52,19.622,3.51
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,4,2048,1,24,89.387,20.204,0.014,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,8,1,1,24,87.175,19.644,0.009,1520.45,23.677,4.034
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,8,2,1,24,86.76,21.904,0.008,1363.34,19.823,4.114
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,8,4,1,24,88.453,21.837,0.008,1277.65,17.586,3.502
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,8,8,1,24,90.29,21.728,0.011,1236.87,19.258,3.464
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,8,16,1,24,89.307,21.486,0.013,1163.4,20.408,4.099
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1776,1776,8,32,1,24,88.812,21.878,0.01,1082.1,21.322,4.481
