device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,1,1,1,4,30.305,6.108,0.007,5.634,2.441,1.722
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,2,1,1,4,26.839,5.6,0.005,13.812,2.255,1.919
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,4,1,1,4,34.184,5.814,0.005,10.52,1.165,2.351
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,8,1,1,4,32.643,5.871,0.006,16.459,0.39,1.452
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,16,1,1,4,29.528,4.997,0.004,8.201,0.332,1.96
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,32,1,1,4,31.118,4.89,0.005,13.672,0.317,3.359
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,64,1,1,4,34.452,4.968,0.004,9.91,0.277,2.086
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,128,1,1,4,33.574,4.763,0.004,10.419,0.167,2.144
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,256,1,1,4,27.882,7.08,0.005,10.438,0.157,1.743
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,512,1,1,4,34.357,4.911,0.006,6.065,0.228,2.022
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,1024,1,1,4,35.545,5.121,0.004,2.707,0.092,1.572
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,2048,1,1,4,31.326,6.52,0.005,4.026,0.146,1.812
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,4096,1,1,4,30.713,5.462,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,8192,1,1,4,29.204,6.803,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,1,1,1,4,32.409,6.25,0.014,5.54,4.361,2.338
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,2,1,1,4,30.536,5.686,0.005,16.498,1.544,1.632
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,4,1,1,4,31.922,5.411,0.004,13.331,0.733,1.831
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,8,1,1,4,30.263,5.297,0.005,11.104,0.519,1.871
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,16,1,1,4,30.76,5.96,0.004,11.076,0.341,1.901
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,32,1,1,4,30.732,5.993,0.004,7.181,0.222,1.801
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,64,1,1,4,32.164,5.249,0.004,10.541,0.147,2.181
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,128,1,1,4,32.628,5.007,0.004,10.121,0.135,2.275
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,256,1,1,4,27.528,4.975,0.004,10.192,0.151,2.165
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,512,1,1,4,29.784,5.292,0.005,7.799,0.117,2.039
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,1024,1,1,4,32.492,4.984,0.005,2.401,0.244,2.068
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,2048,1,1,4,31.214,6.85,0.004,4.026,0.238,1.999
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,4096,1,1,4,29.214,5.874,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,262144,8192,1,1,4,28.375,6.864,0.004,-1,-1,-1
