device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,1,1,1,64,0.008,0,0.001,0.361,0,0.061
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,2,1,1,64,0.005,0,0,0.227,0,0.047
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,4,1,1,64,0.004,0,0.001,0.246,0,0.076
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,8,1,1,64,0.003,0,0.001,0.26,0,0.07
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,16,1,1,64,0.004,0,0,0.193,0.001,0.065
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,32,1,1,64,0.004,0,0.001,0.124,0,0.059
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,64,1,1,64,0.004,0,0,0.074,0,0.058
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,128,1,1,64,0.004,0,0,0.045,0,0.031
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,256,1,1,64,0.005,0,0.001,0.036,0,0.029
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,512,1,1,64,0.004,0,0.001,0.044,0,0.09
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,801,199,1024,1,1,64,0.004,0,0,-1,-1,-1
