device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,1,1,1,256,1331.29,129.07,0.006,702.549,132.212,2.848
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,2,1,1,256,1325.63,130.852,0.005,675.679,131.841,6.568
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,4,1,1,256,1334.39,130.221,0.005,469.931,132.579,2.855
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,8,1,1,256,1329.65,127.404,0.005,174.798,130.166,2.749
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,16,1,1,256,1332.43,128.894,0.005,136.563,131.845,2.81
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,32,1,1,256,1326.89,130.128,0.005,102.407,131.468,2.842
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,64,1,1,256,1332.03,130.751,0.005,134.393,131.572,2.68
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,128,1,1,256,1327.96,127.378,0.006,240.675,131.57,2.615
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,256,1,1,256,1326.53,128.346,0.005,264.371,133.652,2.972
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,512,1,1,256,1326.4,130.038,0.005,251.004,130.83,2.823
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,1024,1,1,256,1326.39,129.341,0.005,282.426,130.346,2.8
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,1,1,1,256,1328.99,129.331,0.005,694.763,131.728,2.727
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,2,1,1,256,1330.43,130.297,0.004,654.008,131.173,2.66
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,4,1,1,256,1325.83,129.007,0.004,509.83,131.983,2.819
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,8,1,1,256,1327.5,129.015,0.022,169.596,130.742,2.731
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,16,1,1,256,1327.46,128.508,0.005,124.21,131.926,5.372
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,32,1,1,256,1327.72,129.355,0.005,98.506,132.573,2.821
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,64,1,1,256,1330.03,127.879,0.005,99.758,132.1,2.739
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,128,1,1,256,1327.92,127.763,0.005,219.276,133.028,2.842
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,256,1,1,256,1326.3,128.106,0.006,262.143,132.574,2.799
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,512,1,1,256,1326.58,132.679,0.006,223.732,132.291,2.978
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,6.71089e+07,1024,1,1,256,1326.51,128.424,0.005,254.25,133.419,2.88
